OID	Arrival	Duration	TimeOut
120	1	500	4985
121	1	10	75
101	3	9	85
112	5	6	95
103	6	7	115
106	6	9	135
108	6	8	145
111	6	4	5045
115	6	9	5055
116	6	6	5035
119	6	450	4965
105	10	6	165
104	11	9	185
21	50	100	1465
22	50	10	1565
23	50	100	1465
54	50	10	1565
55	150	1	1475
10	160	1	1575
11	160	1	1575
12	160	1	1575
13	160	1	1575
14	160	1	1585
15	160	1	1575
16	160	1	1575
66	160	1	1575
67	160	1	1575
68	160	1	1575
69	160	1	1575
24	161	2	1595
25	161	2	1595
32	165	2	1635
33	165	4	1655
34	165	1	1645
35	167	2	1675
45	173	4	1735
46	173	3	1725
47	173	3	1755
48	173	1	1705
49	176	1	1735
122	250	1	2475
135	501	7	5115
142	501	80	6065
132	600	7	6035
101	601	6	6045
102	601	5	6045
103	601	1	6045
104	601	3	6045
105	601	2	6045
106	601	1	608
107	603	3	6085
108	604	3	6115
