OID	Arrival	Duration	TimeOut
20	1	6	35
21	1	5	35
22	1	6	35
23	1	1	25
24	1	1	35
120	1	500	4985
120	1	500	4985
121	1	10	75
121	1	10	75
272	1	5	905
10	2	5	65
131	2	95	4425
101	3	9	85
12	5	6	95
112	5	6	95
3	6	7	115
6	6	9	135
8	6	8	145
103	6	7	115
106	6	9	135
108	6	8	145
111	6	4	5045
111	6	4	5045
115	6	9	5055
115	6	9	5055
116	6	6	5035
116	6	6	5035
119	6	450	4965
119	6	450	4965
298	6	85	1025
13	7	5	105
14	7	5	95
15	7	5	105
16	7	5	95
5	10	6	165
17	10	5	115
105	10	6	165
4	11	9	185
18	11	4	115
104	11	9	185
19	12	3	115
20	13	2	115
31	15	50	615
32	16	2	145
33	16	2	145
34	16	1	155
35	16	1	155
36	16	1	165
37	16	1	165
38	16	1	175
39	16	1	175
40	16	1	185
41	16	1	185
42	16	1	625
267	30	51	131
117	45	8	495
21	50	100	1465
22	50	10	1565
23	50	100	1465
54	50	10	1565
274	50	98	4045
220	51	500	5485
221	51	10	575
211	56	496	5545
215	56	9	5555
216	56	6	5535
219	56	450	5465
206	97	8	1855
55	150	1	1475
10	160	1	1575
11	160	1	1575
12	160	1	1575
13	160	1	1575
14	160	1	1585
15	160	1	1575
16	160	1	1575
66	160	1	1575
67	160	1	1575
68	160	1	1575
69	160	1	1575
24	161	2	1595
25	161	2	1595
32	165	2	1635
33	165	4	1655
34	165	1	1645
35	167	2	1675
45	173	4	1735
46	173	3	1725
47	173	3	1755
48	173	1	1705
49	176	1	1735
122	250	1	2475
122	250	1	2475
222	250	1	2475
135	501	7	5115
135	501	7	5115
142	501	80	6065
142	501	80	6065
370	501	82	5795
235	551	7	5615
242	557	3	5565
132	600	7	6035
132	600	7	6035
231	600	87	6835
232	600	7	6045
101	601	6	6045
101	601	6	6045
102	601	5	6045
102	601	5	6045
103	601	1	6045
103	601	1	6045
104	601	3	6045
104	601	3	6045
105	601	2	6045
105	601	2	6045
106	601	1	608
106	601	1	6045
201	601	6	6045
202	601	5	6045
203	601	1	6045
204	601	3	6045
205	601	2	6045
205	601	8	6055
206	601	1	6045
107	603	3	6085
107	603	3	6085
108	604	3	6115
108	604	3	6115
301	750	100	8465
302	750	10	8565
303	750	100	8465
304	750	10	8565
305	850	1	8475
306	860	1	8575
307	860	1	8575
308	860	1	8575
309	860	1	8575
310	860	1	8575
311	860	1	8575
312	860	1	8575
313	860	1	8575
314	860	1	8585
315	860	1	8575
316	860	1	8575
324	861	2	8595
325	861	2	8595
332	865	2	8635
333	865	4	8655
334	865	1	8645
335	867	2	8675
345	873	4	8735
346	873	3	8725
347	873	3	8755
348	873	1	8705
349	876	1	8735
420	1001	6	10035
421	1001	5	10035
422	1001	6	10035
423	1001	1	10025
424	1001	1	10035
413	1007	5	10105
414	1007	5	10095
415	1007	5	10105
416	1007	5	10095
417	1010	5	10115
418	1011	4	10115
419	1012	3	10115
420	1013	2	10115
431	1015	50	10615
432	1016	2	10145
433	1016	2	10145
434	1016	1	10155
435	1016	1	10155
436	1016	1	10165
437	1016	1	10165
438	1016	1	10175
439	1016	1	10175
440	1016	1	10185
441	1016	1	10185
442	1016	1	10625
2015	2014	365	23755
2015	2014	365	23755
2017	32767	32767	655305
2017	32767	32767	655305
