	OID	Arrival	Duration	TimeOut
(1)	21	50	100	150
(2)	22	50	10	160
(3)	23	50	100	150
(4)	54	50	10	160
(5)	55	150	1	151
(6)	10	160	1	161
(7)	11	160	1	161
(8)	12	160	1	161
(9)	13	160	1	161
(10)	14	160	1	162
(11)	15	160	1	161
(12)	16	160	1	161
(13)	66	160	1	161
(14)	67	160	1	161
(15)	68	160	1	161
(16)	69	160	1	161
(17)	24	161	2	163
(18)	25	161	2	163
(19)	32	165	2	167
(20)	33	165	4	169
(21)	34	165	1	168
(22)	35	167	2	171
(23)	45	173	4	177
(24)	46	173	3	176
(25)	47	173	3	179
(26)	48	173	1	174
(27)	49	176	1	177
