	OID	Arrival	Duration	TimeOut
(1)	120	1	500	502
(2)	121	1	10	11
(3)	272	1	5	94
(4)	131	2	95	446
(5)	111	6	4	508
(6)	115	6	9	509
(7)	116	6	6	507
(8)	119	6	450	500
(9)	298	6	85	106
(10)	267	30	51	131
(11)	117	45	8	53
(12)	274	50	98	408
(13)	206	97	8	189
(14)	122	250	1	251
(15)	135	501	7	515
(16)	142	501	80	610
(17)	370	501	82	583
(18)	132	600	7	607
(19)	231	600	87	687
(20)	101	601	6	608
(21)	102	601	5	608
(22)	103	601	1	608
(23)	104	601	3	608
(24)	105	601	2	608
(25)	106	601	1	608
(26)	205	601	8	609
(27)	107	603	3	612
(28)	108	604	3	615
