	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	298	0	6	0
[2]	267	0	30	0
[3]	117	0	45	0
[4]	274	0	50	0
[5]	206	0	97	0
[6]	122	0	250	0
[7]	272	1	501	500
[8]	116	1	507	501
[9]	119	2	115	109
[10]	370	1	594	93
[11]	205	0	601	0
[12]	107	0	603	0
[13]	108	0	604	0
[14]	101	1	608	7
[15]	103	1	608	7
[16]	105	1	608	7
[17]	102	2	687	86
[18]	104	2	687	86
[19]	106	2	687	86
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	120	1	501	0
[2]	121	2	11	0
[3]	131	2	106	9
[4]	111	1	505	495
[5]	115	2	115	100
[6]	135	1	514	6
[7]	142	1	594	13
[8]	132	1	607	0
[9]	231	2	687	0
[Average Delay] 75.18 ms
[Success Rate]  32.14 %
