	OID	Arrival	Duration	TimeOut
(1)	20	1	6	7
(2)	21	1	5	7
(3)	22	1	6	7
(4)	23	1	1	6
(5)	24	1	1	7
(6)	120	1	500	502
(7)	120	1	500	502
(8)	121	1	10	11
(9)	121	1	10	11
(10)	272	1	5	94
(11)	10	2	5	10
(12)	131	2	95	446
(13)	101	3	9	12
(14)	12	5	6	13
(15)	112	5	6	13
(16)	3	6	7	15
(17)	6	6	9	17
(18)	8	6	8	18
(19)	103	6	7	15
(20)	106	6	9	17
(21)	108	6	8	18
(22)	111	6	4	508
(23)	111	6	4	508
(24)	115	6	9	509
(25)	115	6	9	509
(26)	116	6	6	507
(27)	116	6	6	507
(28)	119	6	450	500
(29)	119	6	450	500
(30)	298	6	85	106
(31)	13	7	5	14
(32)	14	7	5	13
(33)	15	7	5	14
(34)	16	7	5	13
(35)	5	10	6	20
(36)	17	10	5	15
(37)	105	10	6	20
(38)	4	11	9	22
(39)	18	11	4	15
(40)	104	11	9	22
(41)	19	12	3	15
(42)	20	13	2	15
(43)	31	15	50	65
(44)	32	16	2	18
(45)	33	16	2	18
(46)	34	16	1	19
(47)	35	16	1	19
(48)	36	16	1	20
(49)	37	16	1	20
(50)	38	16	1	21
(51)	39	16	1	21
(52)	40	16	1	22
(53)	41	16	1	22
(54)	42	16	1	66
(55)	267	30	51	131
(56)	117	45	8	53
(57)	21	50	100	150
(58)	22	50	10	160
(59)	23	50	100	150
(60)	54	50	10	160
(61)	274	50	98	408
(62)	220	51	500	552
(63)	221	51	10	61
(64)	211	56	496	558
(65)	215	56	9	559
(66)	216	56	6	557
(67)	219	56	450	550
(68)	206	97	8	189
(69)	55	150	1	151
(70)	10	160	1	161
(71)	11	160	1	161
(72)	12	160	1	161
(73)	13	160	1	161
(74)	14	160	1	162
(75)	15	160	1	161
(76)	16	160	1	161
(77)	66	160	1	161
(78)	67	160	1	161
(79)	68	160	1	161
(80)	69	160	1	161
(81)	24	161	2	163
(82)	25	161	2	163
(83)	32	165	2	167
(84)	33	165	4	169
(85)	34	165	1	168
(86)	35	167	2	171
(87)	45	173	4	177
(88)	46	173	3	176
(89)	47	173	3	179
(90)	48	173	1	174
(91)	49	176	1	177
(92)	122	250	1	251
(93)	122	250	1	251
(94)	222	250	1	251
(95)	135	501	7	515
(96)	135	501	7	515
(97)	142	501	80	610
(98)	142	501	80	610
(99)	370	501	82	583
(100)	235	551	7	565
(101)	242	557	3	560
(102)	132	600	7	607
(103)	132	600	7	607
(104)	231	600	87	687
(105)	232	600	7	608
(106)	101	601	6	608
(107)	101	601	6	608
(108)	102	601	5	608
(109)	102	601	5	608
(110)	103	601	1	608
(111)	103	601	1	608
(112)	104	601	3	608
(113)	104	601	3	608
(114)	105	601	2	608
(115)	105	601	2	608
(116)	106	601	1	608
(117)	106	601	1	608
(118)	201	601	6	608
(119)	202	601	5	608
(120)	203	601	1	608
(121)	204	601	3	608
(122)	205	601	2	608
(123)	205	601	8	609
(124)	206	601	1	608
(125)	107	603	3	612
(126)	107	603	3	612
(127)	108	604	3	615
(128)	108	604	3	615
(129)	301	750	100	850
(130)	302	750	10	860
(131)	303	750	100	850
(132)	304	750	10	860
(133)	305	850	1	851
(134)	306	860	1	861
(135)	307	860	1	861
(136)	308	860	1	861
(137)	309	860	1	861
(138)	310	860	1	861
(139)	311	860	1	861
(140)	312	860	1	861
(141)	313	860	1	861
(142)	314	860	1	862
(143)	315	860	1	861
(144)	316	860	1	861
(145)	324	861	2	863
(146)	325	861	2	863
(147)	332	865	2	867
(148)	333	865	4	869
(149)	334	865	1	868
(150)	335	867	2	871
(151)	345	873	4	877
(152)	346	873	3	876
(153)	347	873	3	879
(154)	348	873	1	874
(155)	349	876	1	877
(156)	420	1001	6	1007
(157)	421	1001	5	1007
(158)	422	1001	6	1007
(159)	423	1001	1	1006
(160)	424	1001	1	1007
(161)	413	1007	5	1014
(162)	414	1007	5	1013
(163)	415	1007	5	1014
(164)	416	1007	5	1013
(165)	417	1010	5	1015
(166)	418	1011	4	1015
(167)	419	1012	3	1015
(168)	420	1013	2	1015
(169)	431	1015	50	1065
(170)	432	1016	2	1018
(171)	433	1016	2	1018
(172)	434	1016	1	1019
(173)	435	1016	1	1019
(174)	436	1016	1	1020
(175)	437	1016	1	1020
(176)	438	1016	1	1021
(177)	439	1016	1	1021
(178)	440	1016	1	1022
(179)	441	1016	1	1022
(180)	442	1016	1	1066
(181)	2015	2014	365	2379
(182)	2015	2014	365	2379
(183)	2017	32767	32767	65534
(184)	2017	32767	32767	65534
