	OID	Arrival	Duration	TimeOut
(1)	120	1	500	502
(2)	121	1	10	11
(3)	101	3	9	12
(4)	112	5	6	13
(5)	103	6	7	15
(6)	106	6	9	17
(7)	108	6	8	18
(8)	111	6	4	508
(9)	115	6	9	509
(10)	116	6	6	507
(11)	119	6	450	500
(12)	105	10	6	20
(13)	104	11	9	22
(14)	21	50	100	150
(15)	22	50	10	160
(16)	23	50	100	150
(17)	54	50	10	160
(18)	55	150	1	151
(19)	10	160	1	161
(20)	11	160	1	161
(21)	12	160	1	161
(22)	13	160	1	161
(23)	14	160	1	162
(24)	15	160	1	161
(25)	16	160	1	161
(26)	66	160	1	161
(27)	67	160	1	161
(28)	68	160	1	161
(29)	69	160	1	161
(30)	24	161	2	163
(31)	25	161	2	163
(32)	32	165	2	167
(33)	33	165	4	169
(34)	34	165	1	168
(35)	35	167	2	171
(36)	45	173	4	177
(37)	46	173	3	176
(38)	47	173	3	179
(39)	48	173	1	174
(40)	49	176	1	177
(41)	122	250	1	251
(42)	135	501	7	515
(43)	142	501	80	610
(44)	132	600	7	607
(45)	101	601	6	608
(46)	102	601	5	608
(47)	103	601	1	608
(48)	104	601	3	608
(49)	105	601	2	608
(50)	106	601	1	608
(51)	107	603	3	612
(52)	108	604	3	615
