	OID	Arrival	Duration	TimeOut
(1)	120	1	500	502
(2)	120	1	500	502
(3)	121	1	10	11
(4)	121	1	10	11
(5)	272	1	5	94
(6)	131	2	95	446
(7)	101	3	9	12
(8)	112	5	6	13
(9)	103	6	7	15
(10)	106	6	9	17
(11)	108	6	8	18
(12)	111	6	4	508
(13)	111	6	4	508
(14)	115	6	9	509
(15)	115	6	9	509
(16)	116	6	6	507
(17)	116	6	6	507
(18)	119	6	450	500
(19)	119	6	450	500
(20)	298	6	85	106
(21)	105	10	6	20
(22)	104	11	9	22
(23)	267	30	51	131
(24)	117	45	8	53
(25)	21	50	100	150
(26)	22	50	10	160
(27)	23	50	100	150
(28)	54	50	10	160
(29)	274	50	98	408
(30)	206	97	8	189
(31)	55	150	1	151
(32)	10	160	1	161
(33)	11	160	1	161
(34)	12	160	1	161
(35)	13	160	1	161
(36)	14	160	1	162
(37)	15	160	1	161
(38)	16	160	1	161
(39)	66	160	1	161
(40)	67	160	1	161
(41)	68	160	1	161
(42)	69	160	1	161
(43)	24	161	2	163
(44)	25	161	2	163
(45)	32	165	2	167
(46)	33	165	4	169
(47)	34	165	1	168
(48)	35	167	2	171
(49)	45	173	4	177
(50)	46	173	3	176
(51)	47	173	3	179
(52)	48	173	1	174
(53)	49	176	1	177
(54)	122	250	1	251
(55)	122	250	1	251
(56)	135	501	7	515
(57)	135	501	7	515
(58)	142	501	80	610
(59)	142	501	80	610
(60)	370	501	82	583
(61)	132	600	7	607
(62)	132	600	7	607
(63)	231	600	87	687
(64)	101	601	6	608
(65)	101	601	6	608
(66)	102	601	5	608
(67)	102	601	5	608
(68)	103	601	1	608
(69)	103	601	1	608
(70)	104	601	3	608
(71)	104	601	3	608
(72)	105	601	2	608
(73)	105	601	2	608
(74)	106	601	1	608
(75)	106	601	1	608
(76)	205	601	8	609
(77)	107	603	3	612
(78)	107	603	3	612
(79)	108	604	3	615
(80)	108	604	3	615
