	[Aborts Jos]
	OID	Abort	Delay
[1]	24	1	0	
[2]	120	1	0	
[3]	120	1	0	
[4]	121	1	0	
[5]	121	1	0	
[6]	272	1	0	
[7]	10	2	0	
[8]	131	2	0	
[9]	101	3	0	
[10]	12	5	0	
[11]	112	5	0	
[12]	3	6	0	
[13]	6	6	0	
[14]	8	6	0	
[15]	103	6	0	
[16]	106	6	0	
[17]	108	6	0	
[18]	111	6	0	
[19]	111	6	0	
[20]	115	6	0	
[21]	115	6	0	
[22]	116	6	0	
[23]	116	6	0	
[24]	119	6	0	
[25]	119	6	0	
[26]	298	6	0	
[27]	21	7	6	
[28]	15	7	0	
[29]	16	7	0	
[30]	22	7	6	
[31]	23	8	7	
[32]	105	10	0	
[33]	4	11	0	
[34]	18	11	0	
[35]	104	11	0	
[36]	14	13	6	
[37]	31	15	0	
[38]	32	16	0	
[39]	33	16	0	
[40]	34	16	0	
[41]	35	16	0	
[42]	36	16	0	
[43]	37	16	0	
[44]	38	16	0	
[45]	39	16	0	
[46]	40	16	0	
[47]	41	16	0	
[48]	42	16	0	
[49]	17	19	9	
[50]	19	19	7	
[51]	20	19	6	
[52]	0	0	0	
[53]	22	50	0	
[54]	23	50	0	
[55]	54	50	0	
[56]	274	50	0	
[57]	220	51	0	
[58]	221	51	0	
[59]	211	56	0	
[60]	215	56	0	
[61]	216	56	0	
[62]	219	56	0	
[63]	267	131	101	
[64]	117	81	36	
[65]	21	150	100	
[66]	0	0	0	
[67]	0	0	0	
[68]	55	151	1	
[69]	0	0	0	
[70]	13	160	0	
[71]	14	160	0	
[72]	15	160	0	
[73]	16	160	0	
[74]	66	160	0	
[75]	67	160	0	
[76]	68	160	0	
[77]	69	160	0	
[78]	10	161	1	
[79]	11	161	1	
[80]	12	162	2	
[81]	24	163	2	
[82]	25	163	2	
[83]	0	0	0	
[84]	32	167	2	
[85]	33	169	4	
[86]	34	168	3	
[87]	0	0	0	
[88]	48	173	0	
[89]	49	176	0	
[90]	45	177	4	
[91]	46	177	4	
[92]	47	179	6	
[93]	0	0	0	
[94]	122	251	1	
[95]	122	251	1	
[96]	222	252	2	
[97]	0	0	0	
[98]	142	501	0	
[99]	370	501	0	
[100]	135	515	14	
[101]	235	595	44	
[102]	242	595	38	
[103]	0	0	0	
[104]	232	600	0	
[105]	101	601	0	
[106]	101	601	0	
[107]	102	601	0	
[108]	102	601	0	
[109]	103	601	0	
[110]	103	601	0	
[111]	104	601	0	
[112]	104	601	0	
[113]	105	601	0	
[114]	105	601	0	
[115]	106	601	0	
[116]	106	601	0	
[117]	201	601	0	
[118]	202	601	0	
[119]	203	601	0	
[120]	204	601	0	
[121]	205	601	0	
[122]	205	601	0	
[123]	206	601	0	
[124]	107	603	0	
[125]	107	603	0	
[126]	108	604	0	
[127]	108	604	0	
[128]	132	607	7	
[129]	132	607	7	
[130]	231	687	87	
[131]	0	0	0	
[132]	304	750	0	
[133]	301	850	100	
[134]	303	860	110	
[135]	305	860	10	
[136]	0	0	0	
[137]	309	860	0	
[138]	310	860	0	
[139]	311	860	0	
[140]	312	860	0	
[141]	313	860	0	
[142]	314	860	0	
[143]	315	860	0	
[144]	316	860	0	
[145]	306	861	1	
[146]	307	861	1	
[147]	308	862	2	
[148]	324	863	2	
[149]	325	863	2	
[150]	0	0	0	
[151]	332	867	2	
[152]	333	869	4	
[153]	334	868	3	
[154]	0	0	0	
[155]	348	873	0	
[156]	349	876	0	
[157]	345	877	4	
[158]	346	877	4	
[159]	347	879	6	
[160]	0	0	0	
[161]	423	1001	0	
[162]	424	1001	0	
[163]	420	1007	6	
[164]	415	1007	0	
[165]	416	1007	0	
[166]	421	1007	6	
[167]	422	1008	7	
[168]	414	1013	6	
[169]	417	1015	5	
[170]	418	1015	4	
[171]	419	1015	3	
[172]	420	1015	2	
[173]	435	1016	0	
[174]	436	1016	0	
[175]	437	1016	0	
[176]	438	1016	0	
[177]	439	1016	0	
[178]	440	1016	0	
[179]	441	1016	0	
[180]	442	1016	0	
[181]	432	1065	49	
[182]	433	1065	49	
[183]	434	1065	49	
[184]	0	0	0	
[185]	2015	2379	365	
[186]	2015	2379	365	
[187]	0	0	0	
[188]	2017	65534	32767	
	[Jos Dones]
	OID	Departure	Delay
[1]	20	7	0	
[2]	13	12	0	
[3]	5	19	3	
[4]	267	81	0	
[5]	206	105	0	
[6]	206	113	8	
[7]	55	151	0	
[8]	10	161	0	
[9]	32	167	0	
[10]	35	170	1	
[11]	45	177	0	
[12]	122	251	0	
[13]	135	508	0	
[14]	135	515	7	
[15]	142	595	14	
[16]	132	607	0	
[17]	301	850	0	
[18]	302	860	100	
[19]	306	861	0	
[20]	332	867	0	
[21]	335	870	1	
[22]	345	877	0	
[23]	420	1007	0	
[24]	413	1012	0	
[25]	431	1065	0	
[26]	2015	2379	0	
[27]	2017	65534	0	
[Average Delay]	161.01 ms
[Success Rate]	0 %
