	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	6	2	17	11
[2]	8	1	18	12
[3]	5	1	20	10
[4]	4	2	22	11
[5]	215	2	559	503
[6]	219	2	559	503
[7]	216	1	557	501
[8]	222	1	557	307
[9]	235	2	565	14
[10]	202	1	608	7
[11]	204	1	608	7
[12]	206	1	608	7
[13]	205	2	608	7
[14]	303	1	850	100
[15]	314	0	860	0
[16]	315	0	860	0
[17]	316	0	860	0
[18]	308	1	861	1
[19]	310	1	861	1
[20]	312	1	861	1
[21]	309	2	861	1
[22]	311	2	861	1
[23]	313	2	861	1
[24]	348	2	876	3
[25]	347	1	879	6
[26]	422	1	1007	6
[27]	424	1	1007	6
[28]	423	2	1006	5
[29]	415	1	1014	7
[30]	417	1	1015	5
[31]	416	2	1013	6
[32]	418	2	1015	4
[33]	419	1	1015	3
[34]	420	2	1015	2
[35]	439	0	1016	0
[36]	440	0	1016	0
[37]	441	0	1016	0
[38]	442	0	1016	0
[39]	433	1	1065	49
[40]	435	1	1065	49
[41]	437	1	1065	49
	[Done Jobs]
	OID	CID	Departure	Delay
[1]	10	1	7	0
[2]	12	2	11	0
[3]	3	1	14	1
[4]	221	1	61	0
[5]	220	2	551	0
[6]	211	1	557	5
[7]	242	2	560	0
[8]	232	1	607	0
[9]	201	2	607	0
[10]	203	2	608	6
[11]	301	1	850	0
[12]	302	2	760	0
[13]	305	1	851	0
[14]	304	2	770	10
[15]	307	1	861	0
[16]	306	2	861	0
[17]	324	1	863	0
[18]	325	2	863	0
[19]	332	1	867	0
[20]	334	1	868	2
[21]	333	2	869	0
[22]	335	1	870	1
[23]	346	2	876	0
[24]	345	1	877	0
[25]	349	2	877	0
[26]	420	1	1007	0
[27]	421	2	1006	0
[28]	414	1	1012	0
[29]	413	2	1012	0
[30]	431	1	1065	0
[31]	432	2	1018	0
[32]	2015	1	2379	0
[33]	434	2	1019	2
[34]	436	2	1020	3
[35]	2017	1	65534	0
[36]	438	2	1021	4
[Average Delay]	29.09 ms
[Success Rate]	46.75 %
