	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	298	0	6	0
[2]	117	0	45	0
[3]	274	0	50	0
[4]	206	0	97	0
[5]	119	2	500	494
[6]	267	2	500	470
[7]	272	1	501	500
[8]	116	1	507	501
[9]	122	2	251	1
[10]	135	2	515	14
[11]	370	2	583	82
[12]	205	0	601	0
[13]	107	0	603	0
[14]	108	0	604	0
[15]	101	1	608	7
[16]	103	1	608	7
[17]	105	1	608	7
[18]	102	2	687	86
[19]	104	2	687	86
[20]	106	2	687	86
	[Done Jobs]
	OID	CID	Departure	Delay
[1]	121	2	11	0
[2]	131	2	106	9
[3]	115	2	115	100
[4]	120	1	501	0
[5]	111	1	505	495
[6]	142	1	587	6
[7]	132	1	607	0
[8]	231	2	687	0
[Average Delay]	105.39 ms
[Success Rate]	28.57 %
