OID     Arrival Duration        TimeOut
120     1     500      502
121     1      10       11
101     3       9       12
112     5       6       13
103     6       7       15
106     6       9       17
108     6       8       18
111     6       4      508
115     6       9      509
116     6       6      507
119     6     450      500
105    10       6       20
104    11       9       22
122   250       1      251
135   501       7      515
142   501      80      610
132   600       7      607
101   601       6      608
102   601       5      608
103   601       1      608
104   601       3      608
105   601       2      608
106   601       1      608
107   603       3      612
108   604       3      615
