	[Abort Jobs]
	OID	Abort	Delay
[1]	24	1	0
[2]	120	1	0
[3]	120	1	0
[4]	121	1	0
[5]	121	1	0
[6]	272	1	0
[7]	10	2	0
[8]	131	2	0
[9]	101	3	0
[10]	12	5	0
[11]	112	5	0
[12]	3	6	0
[13]	6	6	0
[14]	8	6	0
[15]	103	6	0
[16]	106	6	0
[17]	108	6	0
[18]	111	6	0
[19]	111	6	0
[20]	115	6	0
[21]	115	6	0
[22]	116	6	0
[23]	116	6	0
[24]	119	6	0
[25]	119	6	0
[26]	298	6	0
[27]	21	7	6
[28]	22	7	6
[29]	23	7	6
[30]	5	10	0
[31]	17	10	0
[32]	105	10	0
[33]	4	11	0
[34]	18	11	0
[35]	104	11	0
[36]	14	13	6
[37]	15	14	7
[38]	16	14	7
[39]	19	15	3
[40]	20	15	2
[41]	35	16	0
[42]	36	16	0
[43]	37	16	0
[44]	38	16	0
[45]	39	16	0
[46]	40	16	0
[47]	41	16	0
[48]	42	16	0
[49]	267	30	0
[50]	117	45	0
[51]	21	50	0
[52]	22	50	0
[53]	23	50	0
[54]	54	50	0
[55]	274	50	0
[56]	220	51	0
[57]	221	51	0
[58]	211	56	0
[59]	215	56	0
[60]	216	56	0
[61]	219	56	0
[62]	32	65	49
[63]	33	65	49
[64]	34	65	49
[65]	14	160	0
[66]	15	160	0
[67]	16	160	0
[68]	66	160	0
[69]	67	160	0
[70]	68	160	0
[71]	69	160	0
[72]	11	161	1
[73]	12	161	1
[74]	13	161	1
[75]	25	163	2
[76]	33	169	4
[77]	34	169	4
[78]	49	176	0
[79]	46	177	4
[80]	47	179	6
[81]	48	179	6
[82]	122	251	1
[83]	222	251	1
[84]	370	501	0
[85]	132	600	0
[86]	231	600	0
[87]	232	600	0
[88]	101	601	0
[89]	101	601	0
[90]	102	601	0
[91]	102	601	0
[92]	103	601	0
[93]	103	601	0
[94]	104	601	0
[95]	104	601	0
[96]	105	601	0
[97]	105	601	0
[98]	106	601	0
[99]	106	601	0
[100]	201	601	0
[101]	202	601	0
[102]	203	601	0
[103]	204	601	0
[104]	205	601	0
[105]	205	601	0
[106]	206	601	0
[107]	107	603	0
[108]	107	603	0
[109]	108	604	0
[110]	108	604	0
[111]	142	610	109
[112]	235	610	59
[113]	242	610	53
[114]	132	610	10
[115]	303	860	110
[116]	304	860	110
[117]	305	860	10
[118]	310	860	0
[119]	311	860	0
[120]	312	860	0
[121]	313	860	0
[122]	314	860	0
[123]	315	860	0
[124]	316	860	0
[125]	307	861	1
[126]	308	861	1
[127]	309	861	1
[128]	325	863	2
[129]	333	869	4
[130]	334	869	4
[131]	349	876	0
[132]	346	877	4
[133]	347	879	6
[134]	348	879	6
[135]	424	1001	0
[136]	421	1007	6
[137]	422	1007	6
[138]	423	1007	6
[139]	417	1010	0
[140]	418	1011	0
[141]	414	1013	6
[142]	415	1014	7
[143]	416	1014	7
[144]	419	1015	3
[145]	420	1015	2
[146]	435	1016	0
[147]	436	1016	0
[148]	437	1016	0
[149]	438	1016	0
[150]	439	1016	0
[151]	440	1016	0
[152]	441	1016	0
[153]	442	1016	0
[154]	432	1065	49
[155]	433	1065	49
[156]	434	1065	49
[157]	2015	2379	365
[158]	2017	65534	32767
	[Done Jobs]
	OID	Departure	Delay
[1]	20	7	0
[2]	13	12	0
[3]	31	65	0
[4]	206	105	0
[5]	55	151	0
[6]	10	161	0
[7]	24	163	0
[8]	32	167	0
[9]	35	171	2
[10]	45	177	0
[11]	122	251	0
[12]	135	508	0
[13]	135	515	7
[14]	142	595	14
[15]	301	850	0
[16]	302	860	100
[17]	306	861	0
[18]	324	863	0
[19]	332	867	0
[20]	335	871	2
[21]	345	877	0
[22]	420	1007	0
[23]	413	1012	0
[24]	431	1065	0
[25]	2015	2379	0
[26]	2017	65534	0
[Average Delay]	185.641  ms 
[Success Rate]	14.1304 %
