	[Abort Jobs]
	OID	Abort	Delay
[1]	24	1	0
[2]	120	1	0
[3]	120	1	0
[4]	121	1	0
[5]	121	1	0
[6]	272	1	0
[7]	131	2	0
[8]	101	3	0
[9]	112	5	0
[10]	103	6	0
[11]	106	6	0
[12]	108	6	0
[13]	111	6	0
[14]	111	6	0
[15]	115	6	0
[16]	115	6	0
[17]	116	6	0
[18]	116	6	0
[19]	119	6	0
[20]	119	6	0
[21]	298	6	0
[22]	21	7	6
[23]	22	7	6
[24]	23	7	6
[25]	17	10	0
[26]	105	10	0
[27]	18	11	0
[28]	104	11	0
[29]	14	13	6
[30]	15	14	7
[31]	16	14	7
[32]	19	15	3
[33]	20	15	2
[34]	35	16	0
[35]	36	16	0
[36]	37	16	0
[37]	38	16	0
[38]	39	16	0
[39]	40	16	0
[40]	41	16	0
[41]	42	16	0
[42]	267	30	0
[43]	117	45	0
[44]	21	50	0
[45]	22	50	0
[46]	23	50	0
[47]	54	50	0
[48]	274	50	0
[49]	32	65	49
[50]	33	65	49
[51]	34	65	49
[52]	14	160	0
[53]	15	160	0
[54]	16	160	0
[55]	66	160	0
[56]	67	160	0
[57]	68	160	0
[58]	69	160	0
[59]	11	161	1
[60]	12	161	1
[61]	13	161	1
[62]	25	163	2
[63]	33	169	4
[64]	34	169	4
[65]	49	176	0
[66]	46	177	4
[67]	47	179	6
[68]	48	179	6
[69]	122	251	1
[70]	370	501	0
[71]	101	601	0
[72]	101	601	0
[73]	102	601	0
[74]	102	601	0
[75]	103	601	0
[76]	103	601	0
[77]	104	601	0
[78]	104	601	0
[79]	105	601	0
[80]	105	601	0
[81]	106	601	0
[82]	106	601	0
[83]	205	601	0
[84]	107	603	0
[85]	107	603	0
[86]	108	604	0
[87]	108	604	0
[88]	142	610	109
[89]	132	610	10
[90]	132	610	10
[91]	231	687	87
	[Done Jobs]
	OID	Departure	Delay
[1]	20	7	0
[2]	13	12	0
[3]	31	65	0
[4]	206	105	0
[5]	55	151	0
[6]	10	161	0
[7]	24	163	0
[8]	32	167	0
[9]	35	171	2
[10]	45	177	0
[11]	122	251	0
[12]	135	508	0
[13]	135	515	7
[14]	142	595	14
[15]	2015	2379	0
[16]	2017	65534	0
[Average Delay]	4.28972  ms 
[Success Rate]	14.9533 %
